"id","quantity_ordered","unit_1","weight_per_unit","unit_2","theoretical_calc","unit_3","trial_batch","unit_4","total_calc","unit_5","calculate_loss","percent_loss","unit_6","plus_loss","unit_7","unit_8","rd_formulas_id","department","subject","plan_order","phone_number","lot","confirm_formula","confirm_formula_date","confirm_formula_inhouse","note","user_create","record_status","created_at","updated_at"
"14","3000.0000","ชิ้น","150.0000","g","450.0000","Kg","10.0000","Kg","460.0000","Kg","13.8000","3.0000","Kg","473.8000","Kg","kg","RDF2410083","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","I Feel You Feel for you cleansing gel","819","0955624767","1","สูตร 2 (MFG 22/08/2024)","16/09/2024","3 (2A)","อ้างอิงจากสูตร  PHARMULAR ACNE  CLEAR CLEANSING GEL","ธิดาพร  เกลี้ยงรส / Viewer","1","2024-11-08 06:34:56","2024-11-08 06:34:56"
"15","52499.0000","ชิ้น","48.8000","g","2561.9510","Kg","0.0000","Kg","2561.9510","Kg","0.0000","0.0000","Kg","2561.9510","Kg","kg","RDF2211010","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Her hyness royal hya water sunscreen SPF50+ PA++++ 50 ml","758","0955624767","15","8","นานแล้ว มาไม่ทันค่ะ","","ไม่เผื่อ Loss","ธิดาพร  เกลี้ยงรส / Viewer","1","2024-11-08 06:41:57","2024-11-18 08:04:10"
"16","4000.0000","ชิ้น","48.8000","กรัม","195.2000","กิโลกรัม","0.0000","กิโลกรัม","195.2000","กิโลกรัม","0.0000","0.0000","กิโลกรัม","195.2000","กิโลกรัม","kg","RDF2409088","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","HER HYNESS  ROYAL HYA WATER  SUNSCREEN  SPF 50+ PA++++  Ver 1.2  size  50ml","758","0660977899","15","-","-","1.2","ของ HHS50L15B27, HHS50L15B28 ที่ผลิตไปแล้ว 2 ถัง","ชรินทร์ทิพย์ / R&D","1","2024-11-13 02:35:11","2024-12-13 08:42:43"
"17","120.0000","ชิ้น","2550.0000","กรัม","306.0000","กิโลกรัม","0.0000","กิโลกรัม","306.0000","กิโลกรัม","6.1200","2.0000","กิโลกรัม","312.1200","กิโลกรัม","kg","RDF2304051","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Dr.Jel Alcohol Spray 3000 ml","1131","0660677899","16","standard","-","-","RDF2304051_1  Den 0.85","ชรินทร์ทิพย์ /R&D","1","2024-11-13 06:29:27","2025-08-13 07:25:19"
"18","104564.0000","ชิ้น","2.8200","g","294.8700","Kg","0.0000","Kg","294.8700","Kg","14.1540","4.8000","Kg","309.0240","Kg","kg","RDF2404068","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Nox ultimate spray  52,282 กล่อง","851","0955624767","8","1 (A)","11/4/2024","","อ้างอิงการผลิต LOT7\n4.8 %กลับมาเผื่อ Loss ของรอบการผลิต Lot : 7 B03 เป็นต้นไป","ธิดาพร  เกลี้ยง","1","2024-11-14 04:27:22","2024-11-14 04:30:13"
"19","3500.0000","ชิ้น","220.0000","กรัม","770.0000","กิโลกรัม","0.0000","กิโลกรัม","770.0000","กิโลกรัม","7.7000","1.0000","กิโลกรัม","777.7000","กิโลกรัม","kg","RDF2212007","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","W.diary Revolutionary Concentrate Body Treatment Oil","1155","0660977899","3","3","17/9/2022","-","RDF2407170_1    Den 0.88","ชรินทร์ทิพย์ / R&D","1","2024-11-14 04:40:06","2025-09-05 09:55:26"
"20","3000.0000","ชิ้น","30.0000","กรัม","90.0000","กิโลกรัม","9.0000","กิโลกรัม","99.0000","กิโลกรัม","1.9800","2.0000","กิโลกรัม","100.9800","กิโลกรัม","kg","RDF2408152","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","AVADAV Retrieve Activating Serum Tester","709","0660977899","1","สูตร 7 (MFG20/09/2024)","25/9/2024","-","Den = 1.0 , %Loss อ้างอิงจาก Her Hyness Hydra Glow Serum","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2024-11-14 06:22:46","2025-01-06 03:20:14"
"21","500.0000","ชิ้น","30.0000","กรัม","15.0000","กิโลกรัม","0.0000","","15.0000","กิโลกรัม","0.2250","1.5000","กิโลกรัม","15.2250","กิโลกรัม","kg","RDF2410074","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ CHULADOCTOR ANTI-AGING HYBRID SUNSCREEN (เทสเตอร์)","850","0946766466","Tester","4","26/10/24","","อ้างอิง % Loss จาก Seoul Organic Cream (Cold Process)","ธัญณิชชวีร์ ศรีวรานนท์ / R&D","1","2024-11-19 04:11:05","2024-11-19 04:11:05"
"22","3000.0000","ชิ้น","100.0000","กรัม","300.0000","กิโลกรัม","10.0000","กิโลกรัม","310.0000","กิโลกรัม","12.4000","4.0000","กิโลกรัม","322.4000","กิโลกรัม","kg","RDF2407143","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ Jella Hydrovance smooth Body Cream","857","0946766466","1","4","16/8/2024","","อ้างอิง %Loss จาก NooMa Pore Minimizing Skin Barrier Moisturizing Cream","ธัญณิชชวีร์ ศรีวรานนท์ / R&D","1","2024-11-19 04:47:11","2024-11-27 02:18:27"
"23","200.0000","ชิ้น","467.5000","กรัม","93.5000","กิโลกรัม","0.0000","กิโลกรัม","93.5000","กิโลกรัม","1.8700","2.0000","กิโลกรัม","95.3700","กิโลกรัม","kg","RDF2310064","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","ALCOHOL HAND SPRAY  550 ml.","1129","0660977899","10","standard","-","-","RDF2310064_1   Den 0.85","ชรินทร์ทิพย์ / R&D","1","2024-11-19 06:09:37","2025-08-13 06:47:17"
"24","12000.0000","ชิ้น","45.0000","g","540.0000","Kg","0.0000","Kg","540.0000","Kg","5.4000","1.0000","Kg","545.4000","Kg","kg","RDF2212021","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Nangzin Foot Spa 📌เพิ่มโฟม+สำลี","1123","0955624767","24","2","CF นานแล้ว","","อ้างอิงจากการผลิตการหน้านี้","ธิดาพร  เกลี้ยงรส","1","2024-11-22 05:55:02","2025-08-07 01:31:17"
"25","20000.0000","ชิ้น","45.0000","g","900.0000","Kg","0.0000","Kg","900.0000","Kg","4.5000","0.5000","Kg","904.5000","Kg","kg","RDF2303018","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","THANNISA EXFOLIATING FOOT SPA","1076","0955624767","17","1","ปี 2022","","อ้างอิงจาก Nangzin Footspa","ธิดาพร  เกลี้ยงรส / Viewer","1","2024-11-22 05:58:38","2025-06-16 02:52:20"
"26","20.0000","แกลลอน","2970.0000","g  Den 0.99","59.4000","Kg","6.0000","Kg","65.4000","Kg","2.6160","4.0000","Kg","68.0160","Kg","kg","RDF2409026","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Lily nice clinic Rosa damascena cleansing milk","860","0955624767","1","CF: สูตร 1 (MFG20/10/24)","08/10/24","","อ้างอิงจาก Siriwellness cleansing milk","ธิดาพร  เกลี้ยงรส / Viewer","1","2024-11-22 06:13:34","2024-11-22 06:16:36"
"27","1000.0000","ชิ้น","82.0000","กรัม","82.0000","กิโลกรัม","8.0000","กิโลกรัม","90.0000","กิโลกรัม","1.3500","1.5000","กิโลกรัม","91.3500","กิโลกรัม","kg","RDF2411043","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ SECRET ME KIDS  Pure & Mild Skincare Oil","862","0946766466","1","2.2","12/11/2024","","Density 0.82","ธัญณิชชวีร์ ศรีวรานนท์ / R&D","1","2024-11-22 06:18:03","2025-01-30 01:58:56"
"28","5000.0000","ชิ้น","30.0000","g","150.0000","Kg","0.0000","Kg","150.0000","Kg","5.2500","3.5000","Kg","155.2500","Kg","kg","RDF2212044","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","THANNISA  Foot Soft Cream","929","0955624767","13","คอนเฟิร์มสูตร 2.2 (MFG8/7/22)","2022","","ปรับเพิ่ม Loss เป็น 3.5% เริ่มใช้ใน Lot : 9 เนื่องจาก ในรอบการผลิตใน Lot : 8 ขาดส่ง 23 ชิ้น คิดเป็น 0.23%","ธิดาพร  เกลี้ยงรส/ Viewer","1","2024-11-22 06:25:43","2025-01-20 11:01:27"
"29","20000.0000","ชิ้น","45.0000","g","900.0000","Kg","0.0000","Kg","900.0000","Kg","9.0000","1.0000","Kg","909.0000","Kg","kg","RDF2212046","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","THANNISA EXFOLIATING FOOT SPA","1076","0955624767","17","1","ปี 2022","","ปรับลดเหลือ 1 % ในรอบการผลิต Lot : 8\nเนื่องจากได้ยอดผลิตเกิน Order Lot : 6 , 7","ธิดาพร  เกลี้ยงรส/ Viewer","1","2024-11-22 06:33:55","2025-06-16 03:02:45"
"30","3500.0000","ชิ้น","30.0000","กรัม","105.0000","กิโลกรัม","0.0000","กิโลกรัม","105.0000","กิโลกรัม","4.2000","4.0000","กิโลกรัม","109.2000","กิโลกรัม","kg","RDF2312017","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","The Labatorian Fresh Hydrolotion Broad Spectrum Hybrid Sunscreen SPF 50+ PA++++","1092","0660977899","8","8","25/11/2023","-","Den 1.0 RDF2312017_8","ชรินทร์ทิพย์ / R&D","1","2024-11-25 01:55:42","2025-07-07 06:53:12"
"31","3000.0000","ชิ้น","50.0000","กรัม","150.0000","กิโลกรัม","0.0000","กิโลกรัม","150.0000","กิโลกรัม","5.2500","3.5000","กิโลกรัม","155.2500","กิโลกรัม","kg","RDF2408085","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Pharmaplus Foot Cream","865","0660977899","1","2","21/10/2024","-","Den 1.0","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2024-11-26 02:49:07","2025-02-24 07:39:41"
"32","3000.0000","ชิ้น","30.0000","กรัม","90.0000","กิโลกรัม","9.0000","กิโลกรัม","99.0000","กิโลกรัม","3.9600","4.0000","กิโลกรัม","102.9600","กิโลกรัม","kg","RDF2410129","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Lily nice clinic Joybliss hybrid sunscreen SPF 50 PA++++","861","0660977899","1","2","8/11/2024","กำลังปรับภายใน","Den 1.0","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2024-11-26 06:34:40","2024-11-26 06:34:40"
"33","4800.0000","ชิ้น","150.0000","g","720.0000","Kg","0.0000","Kg","720.0000","Kg","28.8000","4.0000","Kg","748.8000","Kg","kg","RDF2306012","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","W Didry Original Exfoliate Powder Scrub 🖤สครับดำ🖤(เปลี่ยนชื่อ)","1127","0955624767","1","คอนเฟิมสูตร6.2 กลิ่นโกโก้+มะพร้าว","05/2023","","พี่แพรอยากให้ช่วยปรับลด %loss ลงอีกทีค่ะ เพื่อให้สารคลอบคลุมกับเเพคเกจ","Thidapon Kliangrot / Viewer","1","2024-12-02 03:39:37","2025-08-19 11:40:20"
"34","2000.0000","ชิ้น","150.0000","g","300.0000","Kg","0.0000","Kg","300.0000","Kg","6.0000","2.0000","Kg","306.0000","Kg","kg","RDF2307070","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","W DIARY GORGEOUS MAGIC SMOOTH POWDER SCRUB","870","0955624767","4","9","06/23","","","ธิดาพร  เกลี้ยงรส / Viewer","1","2024-12-02 04:19:36","2024-12-02 04:19:36"
"35","5000.0000","ชิ้น","30.0000","g","150.0000","Kg","10.0000","Kg","160.0000","Kg","4.8000","3.0000","Kg","164.8000","Kg","kg","RDF2308002","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","FORESTA HYDRATING VEGAN SUNSCREEN SPF 50+ PA++++","863","0955624767","1","1","นานมาแล้วค่ะ","","","ธิดาพร  เกลี้ยงรส / R&D","1","2024-12-03 03:56:50","2024-12-03 03:58:32"
"36","10000.0000","ชิ้น","50.0000","กรัม","500.0000","กิโลกรัม","10.0000","กิโลกรัม","510.0000","กิโลกรัม","20.4000","4.0000","กิโลกรัม","530.4000","กิโลกรัม","kg","RDF2410069","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Foresta UV Expert Vegan Sunscreen SPF 50+ PA++++","792","0660977899","1","9 (MFG27/12/2023)","13/6/2024","1","Den 1.0","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2024-12-04 09:12:36","2024-12-04 09:16:51"
"37","1000.0000","ชิ้น","10.0000","กรัม","10.0000","กิโลกรัม","0.0000","","10.0000","กิโลกรัม","0.1500","1.5000","กิโลกรัม","10.1500","กิโลกรัม","kg","RDF2211007","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบสำหรับผลิตภัณฑ์   Seoul organic cream","159","095-5624767","6","9","25/11/2022","-","","ธิดาพร  เกลี้ยงรส / Viewer","1","2024-12-06 08:43:15","2024-12-06 10:53:59"
"38","2000.0000","ชิ้น","28.8000","กรัม","57.6000","กิโลกรัม","5.9300","กิโลกรัม","63.5300","กิโลกรัม","1.9060","3.0000","กิโลกรัม","65.4360","กิโลกรัม","kg","RDF2411133","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Labaris Hybrid Sunscreen SPF 50+  PA ++++","782","0660977899","1","6","8/3/2024","6.8","อ้างอิง % loss จาก her hyness hexapeptide anti-aging super dry touch sunscreen  Den = 0.96","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2024-12-06 09:23:39","2024-12-06 10:28:31"
"39","300.0000","ชิ้น","10.0000","กรัม","3.0000","กิโลกรัม","0.0000","","3.0000","กิโลกรัม","0.0600","2.0000","กิโลกรัม","3.0600","กิโลกรัม","kg","RDF2409031","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบสำหรับผลิตภัณฑ์  Seoul White Cream","","095-5624767","2","8.1","09/06/2024","-","","ธิดาพร  เกลี้ยงรส / Viewer","1","2024-12-06 10:57:15","2024-12-13 08:20:47"
"40","2000.0000","ชิ้น","30.0000","กรัม","60.0000","กิโลกรัม","6.0000","กิโลกรัม","66.0000","กิโลกรัม","1.9800","3.0000","กิโลกรัม","67.9800","กิโลกรัม","kg","RDF2411022","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Aesme Laboratory Aesme Dark Spot Correction Whitening Serum","901","0829371409","1","8.7","27/11/24","","อ้างอิงเนื้อจาก : HER HYNESS HYDRA GLOW ADVANCED SKIN BOOSTER SERUM เนื่องจากเป็น Hot Process","ธนพร ปานสาคร / R&D","1","2024-12-09 08:34:06","2025-01-08 02:23:09"
"41","500.0000","ชิ้น","30.0000","กรัม","15.0000","กิโลกรัม","0.0000","กิโลกรัม","15.0000","กิโลกรัม","0.2250","1.5000","กิโลกรัม","15.2250","กิโลกรัม","kg","RDF2412034","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบผลิตภัณฑ์ CHULADOCTOR ANTI-AGING HYBRID SUNSCREEN (เทสเตอร์)","850","0946766466","Tester","4.2","26/10/24","","อ้างอิง % Loss จาก Seoul Organic Cream (Cold Process)","ธัญณิชชวีร์ ศรีวรานนท์ / R&D","1","2024-12-10 02:29:54","2024-12-10 02:29:54"
"42","5000.0000","ชิ้น","50.0000","กรัม","250.0000","กิโลกรัม","10.0000","กิโลกรัม","260.0000","กิโลกรัม","6.5000","2.5000","กิโลกรัม","266.5000","กิโลกรัม","kg","RDF2411155","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบสำหรับผลิตภัณฑ์ CELEKIN MOISTSHIELD B5+ CREAM","977","096-6254984","1","2    (RDF2411053_2)","6/12/24","-","Cold Process อ้างอิงเนื้อจาก : Nenich rose revive eye cream","ธนพร ปานสาคร / R&D","1","2024-12-12 06:07:53","2025-02-21 09:56:11"
"43","5000.0000","ชิ้น","30.0000","กรัม","150.0000","กิโลกรัม","0.0000","กิโลกรัม","150.0000","กิโลกรัม","2.2500","1.5000","กิโลกรัม","152.2500","กิโลกรัม","kg","RDF2403125","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Foresta Anti-Wrinkle Concentrate Serum","872","0660977899","2","1 (MFG 25/3/24)","2/4/24","-","Den 1.0","ชรินทร์ทิพย์ / R&D","1","2024-12-12 09:08:22","2024-12-12 09:08:22"
"44","9.0000","ชิ้น","30.0000","กรัม","0.2700","กิโลกรัม","0.0000","","0.2700","กิโลกรัม","0.0020","0.7000","กิโลกรัม","0.2720","กิโลกรัม","kg","RDF2407062","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบสำหรับผลิตภัณฑ์  Rida Hyamind 8D booster serum","875","082-9371409","2","1 (RDF2407062_1)","1/8/2024","-","อ้างอิงจากการผลิต\nForesta Whitening & Pore Minimizer Serum เนื่องจาก เป็น Cool Process","ธนพร ปานสาคร / R&D","1","2024-12-13 01:30:15","2025-04-18 06:04:45"
"45","67.0000","ชิ้น","30.0000","กรัม","2.0100","กิโลกรัม","","กิโลกรัม","2.0100","กิโลกรัม","0.0500","2.5000","กิโลกรัม","2.0600","กิโลกรัม","kg","RDF2411056","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","สั่งซื้อวัตถุดิบสำหรับผลิตภัณฑ์  Danila Celestia Bloom Moisturizer Cream (Tester 2 kg)","927","082-9371409","Tester 2 kg","1","02/12/24","","อ้างอิงจากสูตร Nenich rose revive eye cream","ธนพร ปานสาคร / R&D","1","2024-12-13 01:53:41","2025-01-17 02:07:15"
"46","1200.0000","ชิ้น","8.0000","กรัม","9.6000","กิโลกรัม","0.0000","กิโลกรัม","9.6000","กิโลกรัม","0.1440","1.5000","กิโลกรัม","9.7440","กิโลกรัม","kg","RDF2212035","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","SEOUL  ORGANIC ALOE SERUM    8 ml","874","0660977899","4","7","-","-","Den 1.0","ชรินทร์ทิพย์ / R&D","1","2024-12-13 10:15:28","2024-12-13 10:15:28"
"47","20.0000","ชิ้น","100.0000","g","2.0000","Kg","0.0000","Kg","2.0000","Kg","0.0800","4.0000","Kg","2.0800","Kg","kg","RDF2410116","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","TANA Hair Treatment Cream Tester","873","0955624767","Tester สูตรที่6","-","-","-","","ธิดาพร  เกลี้ยงรส / Viewer","1","2024-12-16 06:50:16","2024-12-16 06:51:47"
"48","5000.0000","ชิ้น","15.0000","g","75.0000","Kg","0.0000","Kg","75.0000","Kg","0.0000","0.0000","Kg","75.0000","Kg","kg","RDF2212056","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Her Hyness Bio-Peptide Advanced Youth + Glow Serum","1098","0955624767","3","4.1  RDF2212056_4.1","2023","-","ไม่เผื่อ Loss","ธิดาพร  เกลี้ยงรส / Viewer","1","2024-12-16 06:54:57","2025-07-04 03:49:45"
"49","10000.0000","ชิ้น","30.0000","g","300.0000","Kg","0.0000","Kg","300.0000","Kg","0.0000","0.0000","Kg","300.0000","Kg","kg","RDF2212075","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","HER HYNESS HYDRA GLOW ADVANCED SKIN BOOSTER SERUM","1098","0955624767","11","3","นานแล้วค่ะ","","ไม่เผื่อ Loss","Thidapon Kliangrot/ Viewer","1","2024-12-16 06:57:25","2025-07-03 04:22:55"
"50","3000.0000","ชิ้น","30.0000","กรัม","90.0000","กิโลกรัม","9.0000","กิโลกรัม","99.0000","กิโลกรัม","3.9600","4.0000","กิโลกรัม","102.9600","กิโลกรัม","kg","RDF2412080","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","Lily nice clinic Joybliss hybrid sunscreen SPF 50 PA++++","861","0660977899","1","2","8/11/2024","2.3","Den 1.0","ชรินทร์ทิพย์ ทวิสิริทรัพย์ / R&D","1","2024-12-17 02:15:43","2025-01-07 10:56:10"
"51","4100.0000","ชิ้น","15.0000","g","61.5000","Kg","0.0000","Kg","61.5000","Kg","2.7680","4.5000","Kg","64.2670","Kg","kg","RDF2412066","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","YAMANA POKO Serum กลิ่น Dream In Vegas","","0955624767","2","สูตรเทสกลิ่น (4/11/24)  RDF2412066_1","12/12/24","","อ้างอิงจากการผลิตYAMANA POKO Serum Lot ก่อนๆ","ธิดาพร  เกลี้ยงรส / Viewer","1","2024-12-18 09:43:32","2025-03-17 02:43:20"
"52","5046.0000","ชิ้น","15.0000","g","75.6900","Kg","0.0000","Kg","75.6900","Kg","0.0000","0.0000","Kg","75.6900","Kg","kg","RDF2412093","วิจัยและพัฒนาผลิตภัณฑ์ (เครื่องสำอาง)","YAMANA POKO Serum กลิ่น Dream in vegas ความหนืดใหม่","422","0955624767","","","","","สูตร 105.00% ดังนั้นจึงไม่เผื่อ Loss","","1","2024-12-18 09:59:30","2025-01-15 08:20:40"
