"id","formula_masters_id","topic_masters_id","registration_document_id","product_code","bmr_lot","bmr_dom","bmr_pamount","bmr_ind","record_status","month_number","batch_size","theoretical_yield","theoretical_yield_percent","standard_yield","standard_yield_percent","actual_yield","actual_yield_percent","lost_the_mixing_process","lost_the_mixing_process_percent","text_note1","year_number","users_id","document_statuses_id","created_at","updated_at"
"29","MF2212006","2","FM-PD-09","HHC30","HHC30L01B05","12/09/2022","78.0000","12/09/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-08 09:20:32","2022-12-08 09:20:33"
"30","MF2212006","2","FM-PD-09","HHC30","HHC30L01B06","12/09/2022","78.0000","12/09/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-08 09:22:55","2022-12-08 09:22:56"
"31","MF2212009","2","FM-PD-09","HGS30","HGS30","12/09/2022","100.0000","12/09/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-09 01:47:34","2022-12-09 01:47:37"
"32","MF2212010","2","FM-PD-09","SAS8","SAS8","12/09/2022","100.0000","12/09/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-09 03:57:39","2022-12-09 03:57:40"
"33","MF2212010","2","FM-PD-09","SAS8","SAS8L03B04","12/09/2022","100.0000","12/09/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-09 03:59:30","2022-12-09 03:59:31"
"34","MF2212010","2","FM-PD-09","SAS8","SAS8L03B04","12/10/2022","100.0000","12/10/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-09 06:09:21","2022-12-09 06:09:23"
"35","MF2212010","2","FM-PD-09","SAS8","SAS8L01B05","12/10/2022","100.0000","12/10/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-09 06:13:33","2022-12-09 06:13:34"
"36","MF2212012","2","FM-PD-09","NOX6","NOX6","12/09/2022","90.0000","12/09/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-09 08:17:27","2022-12-09 08:17:29"
"37","MF2212010","2","FM-PD-09","SAS8","SAS8L03B06","12/13/2022","100.0000","12/13/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-12 02:49:04","2022-12-12 02:49:13"
"38","MF2212010","2","FM-PD-09","SAS8","SAS8L03B07","12/12/2022","100.0000","12/12/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-12 02:53:29","2022-12-12 02:53:31"
"39","MF2212010","2","FM-PD-09","SAS8","SAS8L03B08","12/17/2022","80.0000","12/17/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-12 03:10:29","2022-12-12 03:10:31"
"40","MF2212010","2","FM-PD-09","SAS8","SAS8L03B09","12/17/2022","80.0000","12/17/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-12 03:11:51","2022-12-12 03:12:12"
"41","MF2212017","2","FM-PD-09","SOS7","SOS7L03B08","12/13/2022","70.7000","12/13/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-12 03:24:48","2022-12-12 03:24:57"
"42","MF2212019","2","FM-PD-09","SAS24","SAS24L03B22","12/19/2022","96.0000","12/19/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-12 06:02:29","2022-12-12 06:02:33"
"43","MF2212019","2","FM-PD-09","SAS24","SAS24L03B23","12/19/2022","96.0000","12/19/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-12 06:08:24","2022-12-12 06:08:44"
"44","MF2212020","2","FM-PD-09","TFS50","TFS45L01B01","12/14/2022","102.0000","12/14/2022","1","12","","","","","","","","","","1.สวมถุงมือและแว่นนิรภัยตลอดการผสม\n 2.ระวังอย่าให้สารกระเด็นเข้าตา","2022","1","2","2022-12-12 06:35:33","2022-12-12 06:58:34"
"45","MF2212014","2","FM-PD-09","TNC30","TNC30","12/14/2022","102.5500","12/14/2022","1","12","","","","","","","","","","","2022","1","1","2022-12-12 06:52:07","2022-12-12 06:52:07"
"46","MF2212014","2","FM-PD-09","TNC30","TNC30L01B01","12/14/2022","102.5500","12/14/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-12 06:52:38","2022-12-12 06:52:59"
"47","MF2212014","2","FM-PD-09","TNC30","TNC30L01B02","12/14/2022","102.5500","12/14/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-12 06:53:26","2022-12-12 06:53:33"
"48","MF2212014","2","FM-PD-09","TNC30","TNC30L01B03","12/15/2022","102.5500","12/15/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-12 06:53:57","2022-12-12 06:54:02"
"49","MF2212020","2","FM-PD-09","TFS50","TFS45L01B02","12/14/2022","102.0000","12/14/2022","1","12","","","","","","","","","","1.สวมถุงมือและแว่นนิรภัยตลอดการผสม\n 2.ระวังอย่าให้สารกระเด็นเข้าตา","2022","1","2","2022-12-12 06:59:36","2022-12-12 06:59:49"
"50","MF2212020","2","FM-PD-09","TFS50","TFS45L01B03","12/14/2022","102.0000","12/14/2022","1","12","","","","","","","","","","1.สวมถุงมือและแว่นนิรภัยตลอดการผสม\n 2.ระวังอย่าให้สารกระเด็นเข้าตา","2022","1","2","2022-12-12 07:00:44","2022-12-12 07:00:55"
"51","MF2212020","2","FM-PD-09","TFS50","TFS45L01B04","12/14/2022","102.0000","12/14/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-12 07:01:59","2022-12-12 07:02:22"
"52","MF2212020","2","FM-PD-09","TFS50","TFS45L01B05","12/15/2022","53.0400","12/15/2022","1","12","","","","","","","","","","1.สวมถุงมือและแว่นนิรภัยตลอดการผสม\n 2.ระวังอย่าให้สารกระเด็นเข้าตา","2022","1","2","2022-12-12 07:05:06","2022-12-12 07:05:25"
"53","MF2212016","2","FM-PD-09","SWS21","SWS21L02B16","12/13/2022","42.0000","12/13/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-12 07:39:14","2022-12-12 07:39:26"
"54","MF2212024","2","FM-PD-09","MST15","MST15","12/14/2022","100.0000","12/14/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-14 07:55:17","2022-12-14 08:00:28"
"55","MF2212024","2","FM-PD-09","MST15","MST15L02B02","12/14/2022","50.8000","12/14/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-14 08:04:00","2022-12-14 08:04:03"
"56","MF2212024","2","FM-PD-09","MST15","MST15L02B02","12/14/2022","50.8000","12/14/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-14 09:06:33","2022-12-14 09:06:58"
"57","MF2212024","2","FM-PD-09","MST15","MST15L02B01","12/14/2022","100.0000","12/14/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-14 09:13:06","2022-12-14 09:13:11"
"58","MF2212025","2","FM-PD-09","DRL5","DRL5L07B01","12/19/2022","10.0000","12/19/2022","1","12","","","","","","","","","","","2022","17","2","2022-12-17 07:32:42","2022-12-17 07:32:46"
"59","MF2212026","2","FM-PD-09","NSS30","NSS30L01B01","12/17/2022","92.7000","12/17/2022","1","12","","","","","","","","","","","2022","17","2","2022-12-17 08:37:14","2022-12-17 08:37:23"
"60","MF2212021","2","FM-PD-09","HHS50","HHS50L06B01","12/19/2022","72.0000","12/19/2022","1","12","","","","","","","","","","","2022","19","2","2022-12-17 09:03:03","2022-12-17 09:03:57"
"61","MF2212028","2","FM-PD-09","NOX6","NOX6L04B02","12/19/2022","60.0000","12/19/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-19 02:54:54","2022-12-19 02:55:05"
"62","MF2212027","2","FM-PD-09","YBC150","YBC150","12/19/2022","102.0000","12/19/2022","1","12","","","","","","","","","","","2022","18","1","2022-12-19 04:00:40","2022-12-19 04:00:40"
"63","MF2212029","2","FM-PD-09","HGS30","HGS30L01B06","12/19/2022","61.7000","12/19/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-19 04:28:37","2022-12-19 04:28:40"
"64","MF2212015","2","FM-PD-09","SWS7","SWS7L16B06","12/19/2022","70.0000","12/19/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-19 04:43:09","2022-12-19 04:43:26"
"65","MF2212015","2","FM-PD-09","SWS7","SWS7L16B07","12/19/2022","70.0000","12/19/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-19 04:59:53","2022-12-19 04:59:57"
"66","MF2212028","2","FM-PD-09","NOX6","NOX6L04B02","12/21/2022","65.9500","12/21/2022","1","12","","","","","","","","","","","2022","1","2","2022-12-19 05:59:10","2022-12-19 05:59:15"
"67","MF2212027","2","FM-PD-09","YBC150","YBC150L01B01","12/20/2022","102.0000","12/20/2022","1","12","","","","","","","","","","","2022","18","2","2022-12-19 08:39:09","2022-12-19 08:39:12"
"68","MF2212027","2","FM-PD-09","YBC150","YBC150L01B01","12/20/2022","102.0000","12/20/2022","1","12","","","","","","","","","","","2022","18","2","2022-12-19 08:57:13","2022-12-19 08:57:14"
"69","MF2212027","2","FM-PD-09","YBC150","YBC150L01B02","12/21/2022","102.0000","12/21/2022","1","12","","","","","","","","","","","2022","18","2","2022-12-19 08:57:46","2022-12-19 08:57:47"
"70","MF2212027","2","FM-PD-09","YBC150","YBC150L01B03","12/21/2022","102.0000","12/21/2022","1","12","","","","","","","","","","","2022","18","2","2022-12-19 08:58:16","2022-12-19 08:58:16"
"71","MF2212029","2","FM-PD-09","HGS30","HGS30L02B01","12/19/2022","61.7000","12/19/2022","1","12","","","","","","","","","","","2022","21","2","2022-12-19 10:04:27","2022-12-19 10:04:29"
"72","MF2212006","2","FM-PD-09","HHC30","HHC30L01B07","12/23/2022","93.6000","12/23/2022","1","12","","","","","","","","","","","2022","18","2","2022-12-20 02:24:32","2022-12-20 02:24:34"
"73","MF2212006","2","FM-PD-09","HHC30","HHC30L02B01","12/23/2022","31.2000","12/23/2022","1","12","","","","","","","","","","","2022","18","2","2022-12-20 02:25:22","2022-12-20 02:25:24"
"74","MF2212033","2","FM-PD-09","DBL300","DBL300L02B01","12/22/2022","100.5000","12/22/2022","1","12","","","","","","","","","","","2022","21","2","2022-12-22 03:07:40","2022-12-22 03:07:44"
"75","MF2212033","2","FM-PD-09","DBL300","DBL300L02B02","12/22/2022","100.5000","12/22/2022","1","12","","","","","","","","","","","2022","21","2","2022-12-22 03:08:26","2022-12-22 03:08:28"
"76","MF2212033","2","FM-PD-09","DBL300","DBL300L02B01","04/01/2022","100.5000","04/01/2022","1","12","","","","","","","","","","","2022","21","2","2022-12-22 03:15:58","2022-12-22 03:15:59"
"77","MF2212033","2","FM-PD-09","DBL300","DBL300L02B02","04/01/2022","100.5000","04/01/2022","1","12","","","","","","","","","","","2022","21","2","2022-12-22 03:16:31","2022-12-22 03:16:32"
"78","MF2212032","2","FM-PD-09","JBL500","JBL500L01B01","04/01/2023","120.0000","04/01/2023","1","12","","","","","","","","","","","2022","21","2","2022-12-22 04:39:07","2022-12-22 04:39:08"
"79","MF2212032","2","FM-PD-09","JBL500","JBL500L01B02","04/01/2023","120.0000","04/01/2023","1","12","","","","","","","","","","","2022","21","2","2022-12-22 04:39:47","2022-12-22 04:39:48"
"80","MF2212032","2","FM-PD-09","JBL500","JBL500L01B03","04/01/2023","120.0000","04/01/2023","1","12","","","","","","","","","","","2022","21","2","2022-12-22 04:43:10","2022-12-22 04:43:13"
"81","MF2212033","2","FM-PD-09","DBL300","DBL300L02B03","04/01/2023","100.5000","04/01/2023","1","12","","","","","","","","","","","2022","21","2","2022-12-22 04:47:59","2022-12-22 04:48:00"
"82","MF2212032","2","FM-PD-09","JBL500","JBL500L01B04","01/05/2023","125.0000","01/05/2023","1","12","","","","","","","","","","","2022","1","2","2022-12-24 02:19:24","2022-12-24 02:19:26"
"83","MF2212022","2","FM-PD-09","HHS30","HHS30L07B04","12/26/2022","33.9000","12/26/2022","1","12","","","","","","","","","","","2022","21","2","2022-12-26 02:10:51","2022-12-26 02:11:14"
"84","MF2212022","2","FM-PD-09","HHS30","HHS30L08B01","01/06/2023","104.0000","01/06/2023","1","12","","","","","","","","","","","2022","21","2","2022-12-26 02:13:31","2022-12-26 02:13:32"
"85","MF2212022","2","FM-PD-09","HHS30","HHS30L08B02","01/06/2023","104.0000","01/06/2023","1","12","","","","","","","","","","","2022","21","2","2022-12-26 02:13:59","2022-12-26 02:13:59"
"86","MF2212036","2","FM-PD-09","MBT100","MBT100L03B01","01/04/2023","101.0000","01/04/2023","1","12","","","","","","","","","","","2022","17","2","2022-12-26 02:17:52","2022-12-26 02:18:02"
"87","MF2212038","2","FM-PD-09","CRS15","CRS15L01B01","01/05/2023","77.0000","01/05/2023","1","12","","","","","","","","","","","2022","17","2","2022-12-26 04:06:29","2022-12-26 04:06:32"
"88","MF2212038","2","FM-PD-09","CRS15","CRS15L01B02","12/26/2022","77.0000","12/26/2022","1","12","","","","","","","","","","","2022","17","2","2022-12-26 04:07:18","2022-12-26 04:07:19"
"89","MF2212038","2","FM-PD-09","CRS15","CRS15L01B01","01/06/2023","77.0000","01/06/2023","1","12","","","","","","","","","","","2022","17","2","2022-12-26 04:09:40","2022-12-26 04:09:44"
"90","MF2212038","2","FM-PD-09","CRS15","CRS15L01B01","01/06/2023","77.0000","01/06/2023","1","12","","","","","","","","","","","2022","17","2","2022-12-26 04:10:50","2022-12-26 04:10:59"
"91","MF2212039","2","FM-PD-09","PCG100","PCG100L06B01","01/05/2023","100.0000","01/05/2023","1","12","","","","","","","","","","","2022","18","2","2022-12-26 06:45:24","2022-12-26 06:45:27"
"92","MF2212039","2","FM-PD-09","PCG100","PCG100L06B02","01/05/2023","100.0000","01/05/2023","1","12","","","","","","","","","","","2022","18","2","2022-12-26 06:46:54","2022-12-26 06:46:59"
"93","MF2212039","2","FM-PD-09","PCG100","PCG100L06B03","01/05/2023","100.0000","01/05/2023","1","12","","","","","","","","","","","2022","18","2","2022-12-26 06:47:33","2022-12-26 06:47:34"
"94","MF2212042","2","FM-PD-09","CRS15","CRS15L01B01","01/06/2023","77.0000","01/06/2023","1","12","","","","","","","","","","","2022","17","2","2022-12-26 08:56:16","2022-12-26 08:56:20"
"95","MF2212042","2","FM-PD-09","CRS15","CRS15L01B02","01/06/2023","77.0000","01/06/2023","1","12","","","","","","","","","","","2022","17","2","2022-12-26 08:58:09","2022-12-26 08:58:13"
"96","MF2212041","2","FM-PD-09","CIW120","CIW120L01B01","01/07/2023","120.0000","01/07/2023","1","1","","","","","","","","","","","2023","1","2","2023-01-04 03:37:43","2023-01-04 03:37:45"
"97","MF2212041","2","FM-PD-09","CIW120","CIW120L01B02","01/04/2023","120.0000","01/04/2023","1","1","","","","","","","","","","","2023","1","2","2023-01-04 03:38:55","2023-01-06 02:57:40"
"98","MF2212041","2","FM-PD-09","CIW120","CIW120L01B03","01/07/2023","120.0000","01/07/2023","1","1","","","","","","","","","","","2023","1","2","2023-01-04 03:40:02","2023-01-06 02:58:06"
"99","MF2212041","2","FM-PD-09","CIW120","CIW120L01B04","01/07/2023","120.0000","01/07/2023","1","1","","","","","","","","","","","2023","1","2","2023-01-04 03:40:28","2023-01-06 02:58:26"
"100","MF2212041","2","FM-PD-09","CIW120","CIW120L01B05","01/09/2023","120.0000","01/09/2023","1","1","","","","","","","","","","","2023","18","2","2023-01-04 03:41:07","2023-01-06 07:21:31"
"101","MF2212041","2","FM-PD-09","CIW120","CIW120L01B06","01/09/2023","120.0000","01/09/2023","1","1","","","","","","","","","","","2023","1","2","2023-01-04 03:41:54","2023-01-06 07:23:28"
"102","MF2212041","2","FM-PD-09","CIW120","CIW120L01B07","01/10/2023","120.0000","01/10/2023","1","1","","","","","","","","","","","2023","18","2","2023-01-04 03:46:23","2023-01-06 07:52:30"
"103","MF2212041","2","FM-PD-09","CIW120","CIW120L01B08","01/10/2023","120.0000","01/10/2023","1","1","","","","","","","","","","","2023","18","2","2023-01-04 03:49:02","2023-01-06 07:53:13"
"104","MF2212041","2","FM-PD-09","CIW120","CIW120L01B09","01/10/2023","120.0000","01/10/2023","1","1","","","","","","","","","","","2023","1","2","2023-01-04 03:51:32","2023-01-06 07:54:08"
"105","MF2212041","2","FM-PD-09","CIW120","CIW120L01B10","01/10/2023","120.0000","01/10/2023","1","1","","","","","","","","","","","2023","18","2","2023-01-04 03:52:03","2023-01-06 07:56:08"
"106","MF2301001","2","FM-PD-09","DBL300","DBL300L02B04","01/09/2023","101.0000","01/09/2023","1","1","","","","","","","","","","","2023","1","2","2023-01-05 10:19:56","2023-01-05 10:19:58"
"107","MF2301001","2","FM-PD-09","DBL300","DBL300L02B05","01/09/2023","101.0000","01/09/2023","1","1","","","","","","","","","","","2023","1","2","2023-01-05 10:20:35","2023-01-05 10:20:46"
"108","MF2212030","2","FM-PD-09","PCM20","PCM20L02B01","01/06/2023","63.5000","01/06/2023","1","1","","","","","","","","","","","2023","21","2","2023-01-06 02:05:37","2023-01-06 02:05:40"
"109","MF2212040","2","FM-PD-09","HBC30","HBC30","01/06/2023","41.1000","01/06/2023","1","1","","","","","","","","","","","2023","18","2","2023-01-06 06:52:58","2023-01-06 06:53:22"
"110","MF2212040","2","FM-PD-09","HBC30","HBC30L03B05","01/12/2023","41.1000","01/12/2023","1","1","","","","","","","","","","","2023","18","2","2023-01-06 06:54:36","2023-01-06 06:54:42"
"111","MF2212040","2","FM-PD-09","HBC30","HBC30L03B06","01/12/2023","101.5500","01/12/2023","1","1","","","","","","","","","","","2023","18","2","2023-01-06 07:44:10","2023-01-06 07:44:11"
"112","MF2212023","2","FM-PD-09","HBS30","HBS3L03B05","01/11/2023","78.3000","01/11/2023","1","1","","","","","","","","","","","2023","18","2","2023-01-06 08:01:58","2023-01-06 08:02:41"
"113","MF2212023","2","FM-PD-09","HBS30","HBS30L03B06","01/11/2023","78.3000","01/11/2023","1","1","","","","","","","","","","","2023","18","2","2023-01-06 08:03:52","2023-01-06 08:03:53"
"114","MF2212034","2","FM-PD-09","TFS45","TFS45L02B01","01/11/2023","30.2000","01/11/2023","1","1","","","","","","","","","","","2023","21","1","2023-01-07 07:12:30","2023-01-07 07:12:32"
"115","MF2301003","2","FM-PD-09","TRC15","TRC15L01B01","01/12/2023","47.0000","01/12/2023","1","1","","","","","","","","","","","2023","21","1","2023-01-07 07:52:34","2023-01-07 07:52:36"
"116","MF2301002","2","FM-PD-09","GUC30","GUC30L01B01","01/13/2023","102.0000","01/13/2023","1","1","","","","","","","","","","","2023","18","2","2023-01-09 02:34:31","2023-01-09 02:34:35"
"117","MF2301002","2","FM-PD-09","GUC30","GUC30L01B02","01/14/2023","102.0000","01/14/2023","1","1","","","","","","","","","","","2023","18","2","2023-01-09 02:36:59","2023-01-09 02:37:00"
"118","MF2301002","2","FM-PD-09","GUC30","GUC30L01B03","01/14/2023","73.0000","01/14/2023","1","1","","","","","","","","","","","2023","18","2","2023-01-09 02:37:44","2023-01-09 02:37:45"
"119","MF2212034","2","FM-PD-09","TFS45","TFS45L02B01","01/11/2023","28.5000","01/11/2023","1","1","","","","","","","","","","","2023","19","2","2023-01-09 07:39:02","2023-01-09 09:38:17"
"120","MF2212040","2","FM-PD-09","HBC30","HBC30L03B07","01/13/2023","101.5500","01/13/2023","1","1","","","","","","","","","","","2023","19","2","2023-01-09 08:17:39","2023-01-09 08:17:42"
"121","MF2301003","2","FM-PD-09","TRC15","TRC15L01B01","01/12/2023","19.1000","01/12/2023","1","1","","","","","","","","","","","2023","1","1","2023-01-09 09:33:27","2023-01-09 09:33:28"
"122","MF2212023","2","FM-PD-09","HBS30","HBS30L03B07","01/11/2023","100.5000","01/11/2023","1","1","","","","","","","","","","","2023","1","2","2023-01-09 09:35:10","2023-01-09 09:35:28"
"123","MF2301003","2","FM-PD-09","TRC15","TRC15L01B01","01/12/2023","16.6000","01/12/2023","1","1","","","","","","","","","","","2023","21","2","2023-01-10 03:20:35","2023-01-10 03:20:48"
"124","MF2301005","2","FM-PD-09","MRS30","MRS30L03B61","01/12/2023","75.0000","01/12/2023","1","1","","","","","","","","","","","2023","19","2","2023-01-10 06:35:47","2023-01-10 06:35:48"
"125","MF2301005","2","FM-PD-09","MRS30","MRS30L03B62","01/12/2023","75.0000","01/12/2023","1","1","","","","","","","","","","","2023","19","2","2023-01-10 06:37:19","2023-01-10 06:37:21"
"126","MF2212040","2","FM-PD-09","HBC30","HBC30","01/10/2023","101.5500","01/10/2023","1","1","","","","","","","","","","","2023","19","1","2023-01-10 08:25:52","2023-01-10 08:25:52"
"127","MF2212033","2","FM-PD-09","DBL300","DBL300L02B05","01/11/2023","40.5000","01/11/2023","1","1","","","","","","","","","","","2023","20","2","2023-01-11 02:36:52","2023-01-11 02:36:54"
"128","MF2301001","2","FM-PD-09","DBL300","DBL300L02B05","01/11/2023","40.5000","01/11/2023","1","1","","","","","","","","","","","2023","18","2","2023-01-11 02:38:10","2023-01-11 02:38:16"
"129","MF2301010","2","FM-PD-09","WCL200","WCL200L03B01","01/13/2023","101.5000","01/13/2023","1","1","","","","","","","","","","","2023","18","2","2023-01-11 04:41:56","2023-01-11 04:41:57"
"130","MF2301010","2","FM-PD-09","WCL200","WCL200L03B02","01/13/2023","101.5000","01/13/2023","1","1","","","","","","","","","","","2023","18","2","2023-01-11 04:42:51","2023-01-11 04:42:52"
"131","MF2301012","2","FM-PD-09","WBS100","WBS100L08B01","01/14/2023","100.5000","01/14/2023","1","1","","","","","","","","","","","2023","21","2","2023-01-12 02:49:43","2023-01-12 02:50:43"
"132","MF2301013","2","FM-PD-09","DPS300","DPS300L01B01","01/14/2023","126.2500","01/14/2023","1","1","","","","","","","","","","","2023","17","1","2023-01-12 07:11:47","2023-01-12 07:11:47"
"133","MF2301013","2","FM-PD-09","DPS300","DPS300L01B01","01/12/2023","126.2500","01/12/2023","1","1","","","","","","","","","","","2023","17","2","2023-01-12 07:12:34","2023-01-12 07:12:36"
"134","MF2301013","2","FM-PD-09","DPS300","DPS300L01B01","01/14/2023","126.2500","01/14/2023","1","1","","","","","","","","","","","2023","17","2","2023-01-12 07:13:06","2023-01-12 07:13:07"
