"id","formula_masters_id","ppart_action","step_number","sub_number","pdetails","ptime","ptemp","paction_output","psts_check","remark","created_at","updated_at"
"41","MF2211009","A","5","","เติมวัตถุดิบลำดับที่ 6 ▢RC00R011 ลงในขั้นตอนที่ 4 ปั่นผสมที่ความเร็วรอบ 200-300 rpm","1-5","-","ของเหลวใส ไม่มีสี กลิ่นเฉพาะตัว","","","2022-11-30 07:05:03","2023-04-25 01:52:39"
"42","MF2211009","A","6","","เติมวัตถุดิบลำดับที่ 7 ▢RC00S003 ลงในขั้นตอนที่ 5 ปั่นผสมที่ความเร็วรอบ 200-300 rpm","1-5","-","ของเหลวใส ไม่มีสี กลิ่นเฉพาะตัว","","","2022-11-30 07:05:04","2023-04-25 01:52:41"
"43","MF2211009","A","7","","เติมวัตถุดิบลำดับที่ 8 ▢RC00C005 ลงในขั้นตอนที่ 6 ปั่นผสมที่ความเร็วรอบ 200-300 rpm","1-5","-","ของเหลวใส ไม่มีสี กลิ่นเฉพาะตัว pH = 5","","","2022-11-30 07:05:06","2023-04-25 01:52:46"
"44","MF2212001","A","1","","เตรียม Part A โดยเติม วัตถุดิบลำดับที่ 2 ▢RC00A012 ลงในวัตถุดิบลำดับที่ 1 ▢RC000000 ปั่นผสมที่ความเร็วรอบ 300-600 rpm","10-20","-","เนื้อเจล ทึบแสง สีขาว ไม่มีกลิ่น","","","2022-12-02 02:35:39","2023-05-22 07:45:34"
"45","MF2212001","A","2","","เติมวัตถุดิบลำดับที่ 3 ▢RC00R011 ลงในขั้นตอนที่ 1 ปั่นผสมที่ความเร็วรอบ 100-500 rpm","5-10","-","เนื้อเจล ทึบแสง สีขาว ไม่มีกลิ่น","","","2022-12-02 02:41:35","2023-05-22 07:43:50"
"46","MF2212001","A","3","","เติมวัตถุดิบลำดับที่ 4 ▢RC00L009 ลงในขั้นตอนที่ 2 ปั่นผสมที่ความเร็วรอบ 100-500 rpm","5-10","-","เนื้อเจล ทึบแสง สีขาว ไม่มีกลิ่น","","","2022-12-02 02:42:44","2023-05-22 07:43:56"
"47","MF2212001","A","4","","เติมวัตถุดิบลำดับที่ 5 ▢RC00S003 ลงในขั้นตอนที่ 3 ปั่นผสมที่ความเร็วรอบ 100-500 rpm","5-10","-","เนื้อเจล ทึบแสง สีขาว ไม่มีกลิ่น","","","2022-12-02 02:44:08","2023-05-22 07:44:07"
"48","MF2212001","A","5","","เติมวัตถุดิบลำดับที่ 6 ▢RCF00015 ลงในขั้นตอนที่ 4 ปั่นผสมที่ความเร็วรอบ 100-500 rpm","5-10","-","เนื้อเจล ทึบแสง สีขาว กลิ่น Musk RCF00015 pH=6","","","2022-12-02 02:44:37","2023-05-22 07:44:16"
"49","MF2212002","A","1","","เตรียม part A โดยให้ความร้อนวัตถุดิบลำดับที่ 2 ▢RC00L017  นำวัตถุดิบลำดับที่ 1 ▢RC00D007 ใส่ไว้ในถุงกรอง จากนั้นนำไปแกว่งใน RC00L017 จนได้สีตามตัวอย่าง จากนั้นกรองลงในหม้อผสมใหญ่","40-60","70-75","ของเหลว ใส สีเหลือง","","","2022-12-02 03:49:48","2024-08-05 02:21:28"
"50","MF2212002","A+B","2","","กรองวัตถุดิบลำดับที่ 3 ▢RC00L017 ลงในหม้อผสมใหญ่ นำถุงกรองที่มีสีมาแกว่งอีกครั้งจนได้สีตามตัวอย่าง ปั่นผสมที่ความเร็วรอบ 100-300 rpm","20-30","60-70","ของเหลว ใส สีเหลือง","","","2022-12-02 03:51:14","2024-08-05 02:26:46"
"51","MF2212002","A+B","3","","กรองวัตถุดิบลำดับที่ 4 ▢RC00S005 ลงในขั้นตอนที่ 2  ปั่นผสมที่ความเร็วรอบ 100-300 rpm","5-10","<60","ของเหลว ใส สีเหลือง","","","2022-12-02 03:51:53","2024-08-05 02:27:05"
"52","MF2212002","A+B","4","","เติมวัตถุดิบลำดับที่ 5 ▢RCC00010 ลงในขั้นตอนที่ 3 ปั่นผสมที่ความเร็วรอบ 100-300 rpm","5-10","<45","ของเหลว ใส สีเหลืองอมส้ม \nกลิ่น RCF00024 Happiness","","","2022-12-02 03:52:57","2024-08-05 02:27:13"
"54","MF2212003","A","1","","โปรยวัตถุดิบลำดับที่ 2 RC00C016 ลงในวัตถุดิบลำดับที่ 1 RC00W000 ปั่นผสมที่ความเร็วรอบ 100-500 rpm","10-20","-","ของเหลว โปร่งแสง ไม่มีสี \nไม่มีกลิ่น","","","2022-12-02 04:13:41","2022-12-02 04:14:29"
"55","MF2212003","A","2","","เติมวัตถุดิบลำดับที่ 3 RC00T021 ลงในขั้นตอนที่ 1 ปั่นผสมที่ความเร็วรอบ 100-500 rpm","1-5","-","ของเหลว โปร่งแสง ไม่มีสี\nไม่มีกลิ่น","","","2022-12-02 04:14:35","2022-12-02 04:15:10"
"56","MF2212003","A","3","","เติมวัตถุดิบลำดับที่ 4 RC00T016 ลงในขั้นตอนที่ 2 ปั่นผสมที่ความเร็วรอบ 500-1000 rpm","5-10","-","เนื้อเจล โปร่งแสง ไม่มีสี\nไม่มีกลิ่น","","","2022-12-02 04:15:21","2022-12-02 04:15:43"
"57","MF2212003","A","4","","เติมวัตถุดิบลำดับที่ 5 RC00S020 ลงในขั้นตอนที่ 3 ปั่นผสมที่ความเร็วรอบ 500-1000 rpm","5-10","-","เนื้อเจล สีขาว ทึบแสง \nไม่มีกลิ่น","","","2022-12-02 04:15:59","2022-12-02 04:16:58"
"58","MF2212003","A","5","","เติมวัตถุดิบลำดับที่ 6 RC00I004 ลงในขั้นตอนที่ 4 ปั่นผสมที่ความเร็วรอบ 500-1000 rpm","5-10","-","เนื้อเจล สีขาว ทึบแสง \nไม่มีกลิ่น","","","2022-12-02 04:17:10","2022-12-02 04:17:36"
"59","MF2212003","B","6","","เตรียม part B โดยผสมวัตถุดิบลำดับที่ 7 Water(7), วัตถุดิบลำดับที่ 8 RC00B013, วัตถุดิบลำดับที่ 9 RC00W005, วัตถุดิบลำดับที่ 10 RC00N003, วัตถุดิบลำดับที่ 11 RC00X003, วัตถุดิบลำดับที่ 12 RC00M018, วัตถุดิบลำดับที่ 13 RC00B003 คนผสมให้เข้ากันด้วยไม้พาย","10-15","-","เนื้อเจล สีขาว ทึบแสง \nไม่มีกลิ่น","","","2022-12-02 04:20:28","2022-12-02 04:21:04"
"60","MF2212003","A+B","7","","ค่อยๆเติม part B ทีละส่วน ลงใน part A ปั่นผสมให้เข้ากันแล้วเติมส่วนถัดไป ปั่นผสมที่ความเร็วรอบ 500-1000 rpm","10-20","-","เนื้อเจล สีขาว ทึบแสง \nไม่มีกลิ่น","","","2022-12-02 04:21:22","2022-12-02 04:21:46"
"61","MF2212003","A+B+C","8","","เติมวัตถุดิบลำดับที่ 14 RC00V003 ลงในขั้นตอนที่ 7 ปั่นผสมที่ความเร็วรอบ 500-1000 rpm","1-5","-","เนื้อเจล สีขาว ทึบแสง \nไม่มีกลิ่น","","","2022-12-02 04:21:59","2022-12-02 04:22:30"
"62","MF2212003","A+B+C","9","","เติมวัตถุดิบลำดับที่ 15 RC00S003 ลงในขั้นตอนที่ 8 ปั่นผสมที่ความเร็วรอบ 500-1000 rpm","1-5","-","เนื้อเจล สีขาว ทึบแสง \nไม่มีกลิ่น pH = 7","","","2022-12-02 04:22:38","2022-12-02 04:23:22"
"63","MF2212004","B","1","","เตรียม Part B โดยให้ความร้อนวัตถุดิบลำดับที่ 2 ▢RC00P002 วัตถุดิบลำดับที่3 ▢RC00P003 วัตถุดิบลำดับที่4 ▢RC00L006 วัตถุดิบลำดับที่5 ▢RC00P012 วัตถุดิบลำดับที่6 ▢RC00O002 วัตถุดิบลำดับที่7 ▢RC00T004 และใช้ไม้พายคนผสมจนหลอมละลายเป็นของเหลว","20-30","70-75","ของเหลว ใส ไม่มีสี \nไม่มีกลิ่น","","","2022-12-02 07:14:07","2023-03-11 08:04:50"
"64","MF2212004","A","2","","เตรียมน้ำร้อนเป็นวัตถุดิบลำดับที่ 1 ▢RC000000 เทลงหม้อผสมใหญ่","-","75-80","ของเหลว ใส ไม่มีสี ไม่มีกลิ่น","","","2022-12-02 07:15:34","2023-02-27 02:43:07"
"65","MF2212004","A+B","3","","ผสม ▢Part B ลงใน Part A พร้อมปั่นผสมที่ความเร็วรอบ 300-700 rpm จนกระจายเป็นเนื้อเดียวกัน","15-30","A:70-80 B:70-80","ของเหลว สีขาว ทึบแสง ไม่มีกลิ่น","","","2022-12-02 07:16:50","2023-03-11 08:23:35"
"66","MF2212004","A+B+C","4","","เติมวัตถุดิบลำดับที่ 8 ▢RC000000 (8) ลงใน Part A+B","5-10","<45","ของเหลว สีขาว ทึบแสง ไม่มีกลิ่น","","","2022-12-02 07:29:05","2023-03-11 08:24:06"
"67","MF2212004","A+B+C+D","5","","เติมวัตถุดิบลำดับที่ 9 ▢RC00S005 พร้อมปั่นผสมที่ความเร็วรอบ 500-1000 rpm จนกระจายเป็นเนื้อเดียวกัน","10-15","<45","เนื้อครีมกึ่งเหลว สีขาวทึบแสง ไม่มีกลิ่น","","","2022-12-02 07:30:28","2023-03-11 08:47:27"
"68","MF2212004","A+B+C+D+E","6","","เตรียม Part E โดยผสมวัตถุดิบลำดับที่11 ▢RC000000 และวัตถุดิบลำดับที่12 ▢RC00P007 ใช้ไม้พายคนผสม จนละลายเป็นเนื้อเดียวกัน จากนั้นเติมลงในขั้นตอนที่ 5 ปั่นผสมที่ความเร็วรอบ 500-1000 rpm","5-10","<45","เนื้อครีมกึ่งเหลว สีขาวทึบแสง ไม่มีกลิ่น","","","2022-12-02 07:32:10","2023-03-11 08:47:49"
"69","MF2212004","A+B+C+D+E","7","","เติมวัตถุดิบลำดับที่10 ▢RC00G008 ลงในขั้นตอนที่ 6 ปั่นผสมที่ความเร็วรอบ 500-1000 rpm","3-5","<45","เนื้อครีมกึ่งเหลว สีขาวทึบแสง ไม่มีกลิ่น pH 2-3","","","2022-12-02 07:48:33","2023-03-11 08:48:43"
"77","MF2212006","C","1","","เตรียม part C โดยคนผสมวัตถุดิบลำดับที่ 9 ▢RC00X001 (9) และวัตถุดิบลำดับที่ 10 ▢RC00R007 (10) คนผสมด้วยไม้พาย \nจากนั้นเติมลงในวัตถุดิบลำดับที่ 8 ▢RC000000 (8) (น้ำอุณหภูมิห้อง) ปั่นผสมด้วยเครื่องปั่นเล็กที่ความเร็วรอบ 100-500 rpm","40-60","-","ของเหลว โปร่งแสง","","","2022-12-06 10:13:26","2025-01-23 08:48:24"
"78","MF2212006","D","2","","เตรียม part D โดยค่อยๆโปรยวัตถุดิบลำดับที่ 12 ▢RC00C001 (12) ลงในวัตถุดิบลำดับที่ 11 ▢RC000000 (11) (น้ำอุณหภูมิห้อง) ปั่นผสมที่ความเร็วรอบ 100-500 rpm","40-60","-","เจล ใส มีฟองแทรก","","","2022-12-06 10:18:04","2025-01-23 08:49:38"
"79","MF2212006","B","3","","เตรียม part B โดยให้ความร้อนวัตถุดิบลำดับที่ 2\n▢RC00L006 (2),\nวัตถุดิบลำดับที่ 3 ▢RC00O011 (3),\nวัตถุดิบลำดับที่ 4 ▢RC00L005 (4),\nวัตถุดิบลำดับที่ 5 RC00T005 (5),\nวัตถุดิบลำดับที่ 6 ▢RC00S004 (6),\nวัตถุดิบลำดับที่ 7 ▢RC00B014 (7) คนผสมให้เข้ากันด้วยไม้พาย\nเมื่อได้อุณหภูมิตามกำหนดจึงหยุดให้ความร้อน","30-45","70-75","ของเหลว โปร่งแสง ไม่มีสี\nไม่มีกลิ่น","","","2022-12-06 10:19:37","2025-01-23 08:50:44"
"80","MF2212006","A+B","4","","เตรียม part A วัตถุดิบลำดับที่ 1 ▢RC000000 (1) (น้ำร้อน)\nจากนั้นค่อยๆเติม ▢part B โดยค่อยๆเทเป็นสาย ปั่นผสมที่ความเร็วรอบ 500-600 rpm","5-10","70-75","ของเหลว สีขาว ทึบแสง \nไม่มีกลิ่น","","","2022-12-06 10:20:30","2025-01-23 08:50:53"
"81","MF2212006","A+B+C","5","","ค่อยๆเติม ▢part C ลงในขั้นตอนที่ 4 ปั่นผสมที่ความเร็วรอบ 500-700 rpm","5-10","-","ของเหลว สีขาว ทึบแสง \nไม่มีกลิ่น","","","2022-12-06 10:21:38","2023-12-22 03:11:48"
"82","MF2212006","A+B+C+D","6","","ค่อยๆเติม ▢part D ลงในขั้นตอนที่ 5 ปั่นผสมที่ความเร็วรอบ 500-700 rpm","10-15","-","เนื้อครีมเหลว สีขาว ทึบแสง ไม่มีกลิ่น","","","2022-12-06 10:22:24","2023-12-22 03:13:34"
"83","MF2212006","A+B+C+D+E","7","","ค่อยๆเติมวัตถุดิบลำดับที่ 13 ▢RC00T016 (13) ลงในขั้นตอนที่ 6 ปั่นผสมที่ความเร็วรอบ 600-800 rpm","50-60","-","เนื้อครีมเหลว สีขาวทึบแสงไม่มีกลิ่น","","","2022-12-06 10:22:36","2025-01-23 08:51:17"
"84","MF2212006","F","8","","เตรียม part F ผสมวัตถุดิบลำดับที่ 14 ▢RC000000 (14),\nวัตถุดิบลำดับที่ 15 ▢RC00H003 (15),\nวัตถุดิบลำดับที่ 16 ▢RC00H004 (16),\nวัตถุดิบลำดับที่ 17 ▢RC00D002 (17),\nวัตถุดิบลำดับที่ 18\n▢RC00N003 (18),\nวัตถุดิบลำดับที่ 19 ▢RC00S051 (19),\nวัตถุดิบลำดับที่ 20 ▢RC00P014 (20),\nวัตถุดิบลำดับที่ 21\n▢RC00G011 (21),\nวัตถุดิบลำดับที่ 22 ▢RC00RO10 (22),\nวัตถุดิบลำดับที่ 23 ▢RC00P023 (23),\nวัตถุดิบลำดับที่ 24 ▢RC00S003 (24)\nผสมเครื่องปั่นเล็กที่ความ เร็ว100-500rpm","20-30","-","ของเหลว สีน้ำตาล กลิ่นเฉพาะตัว","","","2022-12-06 10:22:50","2025-01-23 08:52:46"
"86","MF2212007","A","1","","ชั่ง ▢RC000000 ลงในหม้อผสม จากนั้นค่อยๆโปรย▢RC00S050ลงไปทีละส่วน พร้อมคนผสมให้เข้ากันเป็นเนื้อเดียว ทำเช่นนี้ไปเรื่อยๆ จน ▢RC00S050 หมด \nหมายเหตุ : ระวังอย่าให้สารเข้าตา สวมถุงมือและสวมแว่นนิรภัยขณะทำการผสม","20-30","-","ของเหลว ใส มีกลิ่นเฉพาะตัว","","","2022-12-07 03:31:23","2022-12-07 04:14:05"
"87","MF2212008","A","1","","ผสม ▢Part A ในหม้อผสมใหญ่ เติมวัตถุดิบ ▢RC00O011 ลง RC000000(อุณหภูมิ 85-90 ºC) จากนั้นจึงเติม ▢RC00R008 ปั่นผสมที่ความเร็วรอบ 300-700 rpm   จนกระจายเป็นเนื้อเดียวกัน","60-90","85-90","ของเหลว สีขาว โปร่งแสง \n ไม่มีกลิ่น","","","2022-12-07 04:42:16","2022-12-07 04:43:26"
"88","MF2212008","A+B","2","","ปั่นผสม ▢Part A ต่อเนื่องจนอุณหภูมิลงมาประมาณ 55-60 ºC จึงเติม ▢Part B (RC00I004)  ปั่นผสมที่ความเร็วรอบ 300-700 rpm  จนเข้ากันเป็นเนื้อเดียว","15-30","55-60","ของเหลว สีขาว ทึบแสง\n ไม่มีกลิ่น","","","2022-12-07 04:43:34","2022-12-07 04:44:46"
