"id","fda_number","th_name","en_name","type","file_json","companies_id","fml_code","fml_name","genus","specie","part_used","solven","solven_group","note","cas_no","ins_no","part_use","record_status","created_at","updated_at"
"23","AP-0000025","ผงกีวีสีทอง","GOLD KIWI POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เนื้อผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"24","AP-0000026","ผงเบญจมาศ (ดอกเหลือง)/ผงเก๊กฮวย","CHRYSANTHEMUM POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ดอก FLOWER","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"25","AP-0000027","ผงเกรฟฟรุต","GRAPEFRUIT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"26","AP-0000028","ผงเกรฟฟรุต","GRAPEFRUIT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เนื้อผลไม่รวมเมล็ด FRUIT (WITHOUT SEED)","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"27","AP-0000029","ผงเก๋ากี้","GOJI BERRY POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"28","AP-0000030","ผงโกฐเชียง/ผงตังกุย","DONG QUAI POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ราก ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"29","AP-0000031","ผงขมิ้นชัน","TURMERIC POWDER / CURCUMIN POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เหง้า RHIZOME","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"30","AP-0000032","ผงขมิ้น","TURMERIC POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เหง้า RHIZOME","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"31","AP-0000033","ผงขมิ้น","TURMERIC POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เหง้า RHIZOME","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"32","AP-0000034","ผงข่า","GALANGAL POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เหง้า RHIZOME","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"33","AP-0000035","ผงข่า","GALANGAL POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เหง้า RHIZOME","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"34","AP-0000036","ผงข่า","GALANGAL POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เหง้า RHIZOME","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"35","AP-0000037","ผงข่า","GALANGAL POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เหง้า RHIZOME","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"36","AP-0000039","ผงข่า","GALANGAL POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เหง้า RHIZOME","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"37","AP-0000040","ผงข่า / ผงข่าตาแดง","GALANGAL POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เหง้า RHIZOME","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"38","AP-0000043","ผงข้าวสาลี","WHEAT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","รำ BRAN","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"39","AP-0000044","ผงข้าวโอ๊ต","OAT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","รำ BRAN","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"40","AP-0000045","ผงข้าวโอ๊ต","OAT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เมล็ด SEED","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"41","AP-0000047","ผงขิง","GINGER POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เหง้า RHIZOME","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"42","AP-0000048","ผงขึ้นฉ่าย","CELERY POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ลำต้น STALK","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"43","AP-0000049","ผงขึ้นฉ่าย","CELERY POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ใบ LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"44","AP-0000050","ผงขึ้นฉ่าย","CELERY POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ใบ LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"45","AP-0000051","ผงขึ้นฉ่าย","CELERY POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ลำต้น STALK","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"46","AP-0000054","ผงคลอเรลลา","CHLORELLA POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ทุกส่วน ALGAE","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"47","AP-0000055","ผงคะน้า","KALE POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ใบ LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"48","AP-0000056","ผงคะน้า","KALE POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ลำต้น STEM","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"49","AP-0000057","ผงแครนเบอร์รี","CRANBERRY POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"50","AP-0000058","ผงแครอท","CARROT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","หัว ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"51","AP-0000059","ผงงาดำ","BLACK SESAME POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เมล็ด SEED","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"52","AP-0000060","ผงเง็กเต็ก","POLYGONATUM ODORATUM POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เหง้า RHIZOME","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"53","AP-0000061","ผงเจียวกู้หลาน / ผงปัญจขันธ์","JIAO GU LAN POWDER / GYNOSTEMMA POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ใบ  LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"54","AP-0000062","ผงเจียวกู้หลาน / ผงปัญจขันธ์","JIAO GU LAN POWDER / GYNOSTEMMA POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ลำต้น STEM","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"55","AP-0000063","ผงชะเอมเทศ","LICORICE POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ราก ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"56","AP-0000064","ผงชาขาว","WHITE TEA POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ยอดอ่อน/ใบ APICAL BUD/LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"57","AP-0000065","ผงชาเขียว","GREEN TEA POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ยอดอ่อน/ใบ APICAL BUD/LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"58","AP-0000066","ผงชาดำ","BLACK TEA POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ยอดอ่อน/ใบ APICAL BUD/LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"59","AP-0000067","ผงซานชิ","NOTO-GINSENG POWDER / SAN QI POWDER /PSEUDOGINSENG POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ราก ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"60","AP-0000068","ผงซาร์ซาพาริลลา","SARSAPARILLA POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ราก ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"61","AP-0000069","ผงซีบัคธอร์น","SEA BUCKTHORN POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"62","AP-0000070","ผงไซเลียมฮัสก์ / ผงเทียนเกล็ดหอย","PSYLLIUM HUSK POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เยื่อหุ้มเมล็ด ARIL","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"63","AP-0000071","ผงไซเลียมฮัสก์ / ผงเทียนเกล็ดหอย","PSYLLIUM HUSK POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เมล็ด SEED","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"64","AP-0000072","ผงเมล็ดบัว","LOTUS SEED POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เมล็ด SEED","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"65","AP-0000073","ผงดาเมียนา","DAMIANA POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ใบ LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"66","AP-0000074","ผงแดนดิไลอ้อน","DANDELION POWDER / LION\S TOOTH POWDER,PLANT/ANIMAL,breakdown-component,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-,-,ราก ROOT,1,2025-08-07 16:39:01,2025-08-07 16:39:01"
"67","AP-0000075","ผงตะไคร้","LEMON GRASS POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ลำต้น และใบ STEM AND LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"68","AP-0000076","ผงตะไคร้","LEMON GRASS POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ลำต้น และใบ STEM AND LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"69","AP-0000077","ผงตะไคร้","LEMONGRASS POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ลำต้น STEM","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"70","AP-0000078","ผงตะไคร้แกง","LEMON GRASS POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ลำต้น STEM","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"71","AP-0000079","ผงตังเซียม","DANG SHEN POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ราก ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"72","AP-0000080","ผงถั่งเฉ้า","CORDYCEPS POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ไมซีเลียม MYCELIUM","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"73","AP-0000081","ผงแตงกวา/ผงแตงร้าน","CUCUMBER POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"74","AP-0000082","ผงโตวต๋ง","DU ZHONG POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เปลือกนอกและลำต้น BARK AND STEM","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"75","AP-0000084","ผงถั่วเหลือง","SOYBEAN POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เมล็ด SEED","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"76","AP-0000094","ผงน้ำลูกยอ","NONI JUICE POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"77","AP-0000095","ผงเน็กฉ่งย้ง","","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ลำต้น STEM","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"78","AP-0000096","ผงบรอคโคลี","BROCCOLI POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","หัว HEAD","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"79","AP-0000097","ผงบร็อคโคลี่","BROCCOLI POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ดอก FLOWER","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"80","AP-0000098","ผงบร็อคโคลี่","BROCCOLI POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ลำต้น STEM","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"81","AP-0000099","ผงบร็อคโคลี่","BROCCOLI POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ใบ LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"82","AP-0000100","ผงบิลเบอร์รี","BILBERRY POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"83","AP-0000103","ผงบัวบก","PENNYWORT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ใบ LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"84","AP-0000105","ผงบีท","BEET POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","หัว ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"85","AP-0000106","ผงบีทรูท","BEET ROOT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","หัว ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"86","AP-0000107","ผงบุก","KONJAC POWDER , GLUCOMANNAN POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ราก  ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"87","AP-0000109","ผงบุก","KONJAC POWDER , GLUCOMANNAN POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","หัวใต้ดิน TUBER","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"88","AP-0000111","ผงโกโบ","BURDOCK POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ราก ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"89","AP-0000112","ผงแบเตง","-","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ราก ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"90","AP-0000114","ผงแบลคเบอร์รี","BLACKBERRY POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"91","AP-0000115","ผงบัวบก","GOTU KOLA POWDER / PENNYWORT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ใบ LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"92","AP-0000117","ผงปาเก็กเทียน","-","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ราก ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"93","AP-0000118","ผงเปปเปอร์มินต์","PEPPERMINT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ลำต้น STEM","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"94","AP-0000119","ผงเปปเปอร์มินต์","PEPPERMINT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ใบ LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"95","AP-0000120","ผงแปะเจีย","CHINESE POENY POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ใบ LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"96","AP-0000121","ผงแป๊ะตุก/ผงโกฐเขมา","ATRACTYLODES MACROCEPHALA POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เหง้า RHIZOME","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"97","AP-0000124","ผงผักโขม / ผงปวยเล้ง","SPINACH POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ใบ LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"98","AP-0000126","ผงผักบุ้ง","WATER SPINACH POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ลำต้น STEM","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"99","AP-0000127","ผงพริกขี้หนูสวน","BIRD CHILI PEPPER POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"100","AP-0000128","ผงพริกไทย","PEPPER POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"101","AP-0000129","ผงพริกไทยดำ","BLACK PEPPER POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"102","AP-0000130","ผงพริกหวาน","CAPSICUM POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"103","AP-0000131","ผงพลูคาว","CHAMELEON PLANT POWDER /RAINBOW PLANT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ใบอ่อน/ยอดอ่อน YOUNG LEAF/YOUNG SHOOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"104","AP-0000133","ผงพุทราจีน","JUJUBE POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผลไม่รวมเมล็ด FRUIT WITHOUT SEED","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"105","AP-0000134","ผงพูเออราเรีย โลบาตา","PUERARIA POWDER / KUDZU POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ราก ROOT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"106","AP-0000135","ผงฟักทอง","PUMPKIN POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เนื้อผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"107","AP-0000136","ผงฟักทอง","PUMPKIN POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เมล็ด SEED","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"108","AP-0000138","ผงมะขามป้อม","INDIAN GOOSEBERRY POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"109","AP-0000139","ผงมะเขือเทศ","TOMATO POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"110","AP-0000140","ผงมะเขือเทศ","TOMATO POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"111","AP-0000141","ผงมะตูม","BAEL FRUIT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เนื้อผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"112","AP-0000142","ผงไลม์/ผงมะนาว","LIME POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผลไม่รวมเมล็ด FRUIT WITHOUT SEED","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"113","AP-0000143","ผงมะนาวเทศ","LEMON POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผลไม่รวมเมล็ด FRUIT WITHOUT SEED","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"114","AP-0000144","ผงมะพร้าว","COCONUT POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เนื้อผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"115","AP-0000145","ผงมะม่วง","MANGO POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เนื้อผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"116","AP-0000146","ผงมะระขี้นก","BITTER MELON POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"117","AP-0000147","ผงมะละกอ","PAPAYA POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"118","AP-0000148","ผงมะละกอ","PAPAYA POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เนื้อผลสุก FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"119","AP-0000149","ผงมังคุด","MANGOSTEEN POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เนื้อมังคุด   PULP","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"120","AP-0000151","ผงเมลอน","MELON POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เนื้อผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"121","AP-0000152","ผงเมลอน","MELON POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","เนื้อผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"122","AP-0000153","ผงราสพ์เบอร์รี","RASPBERRY POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ผล FRUIT","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"123","AP-0000154","ผงรำข้าว","DEFATTED RICE BRAN POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","รำ BRAN","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"124","AP-0000155","ผงโรสแมรี","ROSEMARY POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ใบ  LEAF","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
"125","AP-0000156","ผงโรสแมรี","ROSEMARY POWDER","PLANT/ANIMAL","breakdown-component","3","","","","","","","","","-","-","ก้าน STEM","1","2025-08-07 16:39:01","2025-08-07 16:39:01"
