rd_formula_id,product_details_id,rd_formula_detail,user_name_th,user_name_en,rd_formula_version,rd_formula_version_text,rd_formula_ref,rd_formula_main,rdf_percent_plus_price,month_number,year_number,rd_formula_date,sts_note,user_name_action,mf_sts,document_statuses_id,users_id,record_status,created_at,updated_at,product_name,customer_name,sale_data,company_data,companies_id,rd_project_amount,rd_units_id,brief_server,project_brieft_heads_id,project_no,ccode,fg_code,quantity,rdf_good_quantity,retain,loss,batch_count,codination_id
RDF2212003,26,-,,Admin,0,5,,RDF2212003,20,12.0,2022.0,12/01/2022,,Admin,1,2,17,1,2022-12-01 13:59:34,2023-06-21 14:54:04,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212004,25,-,,พงศ์ธนา  คำปัญโญ,0,5,,RDF2212004,20,12.0,2022.0,12/01/2022,,Thidapon  Kliangrot,1,3,21,1,2022-12-01 15:43:58,2025-08-13 14:32:54,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212005,28,-,,Thatsanawaree Kotwong,0,2,,RDF2212005,20,12.0,2022.0,12/02/2022,,Thatsanawaree Kotwong,1,2,17,1,2022-12-02 09:02:23,2023-06-21 14:53:14,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212006,10,☘️ปรับ : คงความอ่อนโยน ปรับเพิ่มเรื่องการเห็นผลค่ะ,,Admin,0,2,,RDF2212006,20,12.0,2022.0,12/02/2022,,Admin,0,3,17,1,2022-12-02 10:22:53,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212007,29,-,,Admin,0,3,,RDF2212007,20,12.0,2022.0,12/02/2022,,Charinthip Thawisirisap,1,3,22,1,2022-12-02 10:45:24,2023-12-11 13:07:20,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212008,18,"รับงานวันที่  : 27/10/65
กำหนดส่ง : 10/11/65
ปรับ  มาส์คหน้าสำหรับหลังเลเซอร์
ปลอบประโลมผิว และมีความเย็น   สดชื่น",,Admin,0,1,,RDF2212008,20,12.0,2022.0,12/02/2022,,Admin,0,2,21,1,2022-12-02 11:01:34,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212009,24,-,,ชรินทร์ทิพย์ ทวิสิริทรัพย์,0,1,,RDF2212009,20,12.0,2022.0,12/03/2022,,Thatsanawaree Kotwong,1,3,19,1,2022-12-03 15:38:07,2025-02-12 17:01:27,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212010,23,-,,ชรินทร์ทิพย์ ทวิสิริทรัพย์,0,1,,RDF2212010,20,12.0,2022.0,12/03/2022,,Charinthip Thawisirisap,1,2,17,1,2022-12-03 16:07:06,2023-06-21 14:28:56,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212011,45,-,,Admin,0,1,,RDF2212011,20,12.0,2022.0,12/03/2022,,Admin,0,2,17,2,2022-12-03 16:14:13,2023-11-01 10:09:21,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212012,46,-,,ชรินทร์ทิพย์ ทวิสิริทรัพย์,0,2,,RDF2212012,20,12.0,2022.0,12/03/2022,,Thatsanawaree Kotwong,1,3,19,1,2022-12-03 16:21:35,2024-06-27 17:18:55,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212013,47,-,,Admin,0,1,,RDF2212013,20,12.0,2022.0,12/03/2022,,Admin,0,2,17,1,2022-12-03 16:38:31,2023-06-21 14:52:06,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212014,48,-,,Admin,0,1,,RDF2212014,20,12.0,2022.0,12/03/2022,,Admin,1,3,17,1,2022-12-03 16:47:50,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212015,53,"รับงานวันที่  : 17/11/65
กำหนดส่ง : 01/12/65
ปรับ : ปรับสูตร3 ปรับเรื่องกลิ่นให้เบาลงอีกนิดนึง ปรับเรื่องฟองและคราบขาวที่เกิดขึ้นเวลาทา",,Admin,0,3.1,,RDF2212015,20,12.0,2022.0,12/06/2022,,Admin,0,2,21,1,2022-12-06 11:49:31,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212016,54,"รับงานวันที่  : 17/11/65
กำหนดส่ง : 01/12/65
ปรับ : ปรับสูตร3 ปรับเรื่องกลิ่นให้เบาลงอีกนิดนึง ปรับเรื่องฟองและคราบขาวที่เกิดขึ้นเวลาทา",,Admin,0,3.2,,RDF2212016,20,12.0,2022.0,12/06/2022,,Admin,0,1,21,2,2022-12-06 13:20:18,2023-11-23 14:17:56,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212017,54,"รับงานวันที่  : 17/11/65
กำหนดส่ง : 01/12/65
ปรับ : ปรับสูตร3 ปรับเรื่องกลิ่นให้เบาลงอีกนิดนึง ปรับเรื่องฟองและคราบขาวที่เกิดขึ้นเวลาทา",,Thidapon  Kliangrot,0,3,,RDF2212017,20,12.0,2022.0,12/06/2022,,Thidapon  Kliangrot,1,3,22,1,2022-12-06 13:36:09,2023-11-23 14:17:56,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212018,33,"รับงานวันที่  : 15/11/65
กำหนดส่ง : 29/11/65
•ปรับจากสูตร3 เนื้อขาวนานเกินไป เกลี่ยยาก",,Admin,0,4,,RDF2212018,20,12.0,2022.0,12/06/2022,,Admin,0,1,20,0,2022-12-06 15:40:22,2023-06-29 17:12:38,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212019,21,-,,Admin,0,4,,RDF2212019,20,12.0,2022.0,12/06/2022,,Admin,0,1,17,2,2022-12-06 17:12:18,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212020,56,"Krisco group project
สถานะ : ปรับสูตร
Product :เจลแต้มสิว
สูตร : 2
รับงานวันที่  : 19/11/65
กำหนดส่ง : 03/12/65
-ปรับสูตร2
เอาสูตร1มาปรับโดยเพิ่ม Novoretin",,Admin,0,2,,RDF2212020,20,12.0,2022.0,12/07/2022,,Thidapon  Kliangrot,1,3,22,1,2022-12-07 09:20:20,2023-11-24 14:51:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212021,57,"K.Packet
สถานะ : ขึ้นเนื้อ
Product : ผลิตภัณฑ์​สปาเท้า
สูตร : 2
✔️รับงานวันที่  :25/07/65
กำหนดส่ง : 8/08/65
ปรับ :
ปรับสูตร 2 
ขึ้นเนื้อ 200 กรัม เทส ขวด",,พงศ์ธนา  คำปัญโญ,0,2,,RDF2212021,27,12.0,2022.0,12/07/2022,,Thidapon  Kliangrot,1,3,21,1,2022-12-07 10:27:27,2025-08-20 09:27:48,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212022,58,ลดสารสกัดที่ทำให้อุดตัน เอาสูตร3มาปรับ ขอเนื้อแบบเดิม,,Admin,0,4,,RDF2212022,20,12.0,2022.0,12/07/2022,,Admin,0,2,17,1,2022-12-07 11:18:39,2023-06-21 14:50:57,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212023,59,-,,Admin,0,3,,RDF2212023,20,12.0,2022.0,12/07/2022,,Thatsanawaree Kotwong,0,2,17,1,2022-12-07 11:32:58,2023-06-21 14:51:16,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212024,90,คอนเฟิร์ม,,ธิดาพร  เกลี้ยงรส,0,3,,RDF2212024,27,12.0,2022.0,12/07/2022,,Thidapon  Kliangrot,1,3,21,1,2022-12-07 11:39:46,2025-07-17 09:00:39,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212025,109,"1. เพิ่มความเป็น milky
2. ใส่กลิ่น first rain
3. feeling เวลาทายังเหมือนทา oil ธรรมดา ไม่มีความนุ่ม ลื่น ยังไม่รู้สึกถึงการบำรุง ปรับให้นุ่มลื่นขึ้น
4. เนื้อไม่แน่น เป็นน้ำมันแห้ง ๆ ปรับให้เนื้อแน่นกว่านี้",,Admin,0,2,,RDF2212025,20,12.0,2022.0,11/25/2022,,Admin,0,2,17,1,2022-12-07 11:53:09,2023-06-21 14:51:54,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212026,42,-,,Thatsanawaree Kotwong,0,4,,RDF2212026,20,12.0,2022.0,12/07/2022,,Admin,1,3,17,1,2022-12-07 13:53:36,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212027,43,-,,Admin,0,6,,RDF2212027,20,12.0,2022.0,12/07/2022,,Thatsanawaree Kotwong,1,2,17,1,2022-12-07 14:37:51,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212028,44,-,,ธิดาพร  เกลี้ยงรส,0,3,,RDF2212028,20,12.0,2022.0,12/07/2022,,Charinthip Thawisirisap,1,1,21,0,2022-12-07 15:23:39,2023-06-20 13:06:12,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212029,49,-,,Admin,0,2,,RDF2212029,20,12.0,2022.0,12/07/2022,,Charinthip Thawisirisap,1,3,22,1,2022-12-07 15:39:05,2023-12-11 13:23:54,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212030,50,-,,Thatsanawaree Kotwong,0,3,,RDF2212030,20,12.0,2022.0,12/07/2022,,Thatsanawaree Kotwong,1,3,17,1,2022-12-07 15:59:48,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212031,51,-,,พงศ์ธนา  คำปัญโญ,0,3,,RDF2212031,20,12.0,2022.0,12/07/2022,,Charinthip Thawisirisap,1,3,22,1,2022-12-07 16:24:41,2023-11-01 08:52:44,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212032,52,-,,Thatsanawaree Kotwong,0,6,,RDF2212032,20,12.0,2022.0,12/07/2022,,Thatsanawaree Kotwong,1,3,17,1,2022-12-07 16:32:33,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212033,60,-,,Admin,0,1,,RDF2212033,20,12.0,2022.0,12/08/2022,,Admin,0,2,17,1,2022-12-08 11:37:18,2023-06-21 15:22:34,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212034,30,"รับงานวันที่  : 14/10/65
กำหนดส่ง : 28/10/65
ปรับ : สูตร2 เพิ่ม Lipo Fullerene เน้น soothing&anti-inflame",,Admin,0,2,,RDF2212034,20,12.0,2022.0,12/08/2022,,Admin,0,2,20,1,2022-12-08 16:57:52,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212035,22,-,,พงศ์ธนา  คำปัญโญ,0,7,,RDF2212035,20,12.0,2022.0,12/09/2022,,Thatsanawaree Kotwong,1,2,19,1,2022-12-09 09:45:10,2024-03-28 09:24:11,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212036,129,"รับงานวันที่  : 14/11/65
กำหนดส่ง : 28/11/65
ปรับ : benchmark BETTER HALF 
คอนเซป : เจลล้างหน้า ลดสิว ลดการอุดตัน ไม่ทำให้เกิดสิวใหม่ สิวแห้งลง ฟองละเอียด ล้างออกง่าย เนื้อใส ไม่เหลว ตั้งยอดได้
ใช้ Natural fragrance สารสกัด เหมือนกับตัวอย่าง BETTER HALF
เอาเนื้อคล้ายของ Cosrx สารสกัด BETTER HALF",,Admin,0,1,,RDF2212036,20,12.0,2022.0,12/09/2022,,Admin,0,2,21,1,2022-12-09 10:16:45,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212037,36,"รับงานวันที่  : 21/11/65 
กำหนดส่ง : 06/12/65
ปรับ : ปรับสูตร 2
-ปรับให้ซึมทราบไว
-เห็นผลภายใน 14 วัน
-กลิ่นหอมสดชื่น",,Admin,0,2,,RDF2212037,20,12.0,2022.0,12/09/2022,,Admin,0,2,20,1,2022-12-09 11:21:48,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212038,130,"ปรับเนื้อใหม่ เน้มบางเบา ซึมซาบเร็ว รู้สึกได้ทันทีที่ใช้
อันนี้ปรับสารสกัดได้เลยค่ะ ให้เนื้อสบายผิวที่สุด  แต่ยังอยากได้ประสิทธิภาพในการกันแดด SPF50+PA++++ และแสงสีฟ้า
ยังคงมีสารสกัดจากผักและผลไม้สีม่วง",,Admin,0,3,,RDF2212038,20,12.0,2022.0,12/09/2022,,Admin,0,2,17,1,2022-12-09 11:39:30,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212039,38,"รับงานวันที่  : 26/11/65
กำหนดส่ง : 10/12/65
ปรับ : • Milky Lotion ซึมไว ไม่เหนียวเหนอะหนะ ชุ่มชื้นยาวนาน 24 ชม. กลิ่นธรรมชาติ แต่ไม่ใส่น้ำหอม ผิวแพ้ง่ายก็สามารถใช้ได้
- Organic and Natural Ingredients
- No Harmful Ingredients
- No : Mineral Oil, Colorant, Petroleum, GMO 
Synthetic,Retinol ,Paraben ,Silicone ,Alcohol 
Retinol ,Phthalates , Polysorbate 
Animal Test ,Steroids,Harsh Chemical ,PEG 
Polycyclic ,Musks
- No Perfume
- No Silicone
- No Preservative
- Active ทุกตัวต้องมีงานวิจัยรองรับ และสามารถเอางานวิจัยมาอ้างอิง",,Admin,0,1,,RDF2212039,20,12.0,2022.0,12/09/2022,,Admin,0,2,20,1,2022-12-09 13:44:28,2023-06-29 17:15:43,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212040,132,-,,Admin,0,1,,RDF2212040,20,12.0,2022.0,12/09/2022,,Admin,0,3,22,1,2022-12-09 14:09:49,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212041,131,ปรับ​สูตร​2 ส่งให้เลือก​ 3  กลิ่น กลิ่นสดชื่น​ เฟรชๆ,,Admin,0,2.2,,RDF2212041,20,12.0,2022.0,12/09/2022,,Admin,1,3,21,1,2022-12-09 14:16:29,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212042,133,คอนเฟิร์ม,,Admin,0,2,,RDF2212042,20,12.0,2022.0,12/09/2022,,Admin,1,3,21,1,2022-12-09 14:37:05,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212043,134,ปรับ​สูตร​2 ส่งให้เลือก​ 3  กลิ่น กลิ่นสดชื่น​ เฟรชๆ,,Admin,0,2.2,,RDF2212043,20,12.0,2022.0,12/09/2022,,Admin,1,3,21,1,2022-12-09 15:06:41,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212044,135,กลิ่น Dry Skin REV.Fragrance,,พงศ์ธนา  คำปัญโญ,0,2,,RDF2212044,20,12.0,2022.0,12/10/2022,,Thatsanawaree Kotwong,1,3,19,1,2022-12-10 15:22:20,2024-05-21 13:21:15,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212045,136,-,,ทัศนวรี  โคตรวงศ์,0,1,,RDF2212045,20,12.0,2022.0,12/10/2022,,Thatsanawaree Kotwong,1,3,19,1,2022-12-10 15:48:11,2024-09-05 10:35:18,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212046,138,คอนเฟิร์ม,,พงศ์ธนา  คำปัญโญ,0,1,,RDF2212046,20,12.0,2022.0,12/12/2022,,Thatsanawaree Kotwong,1,3,22,1,2022-12-12 10:54:41,2024-01-18 15:15:54,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212047,139,"ปรับเนื้อ Benchmark : Foresta น้องชมพู
ไม่ทิ้งความมัน รู้สึกบางเบา
Vegan & Organic 
Active >> AOX ~ Calming ~ Acne",,Admin,0,5,,RDF2212047,20,12.0,2022.0,12/12/2022,,Admin,0,2,21,2,2022-12-12 11:33:21,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212048,137,"สูตรเน้นผิวแข็งแรง เพิ่มความชุ่มชื้น
เนื้อเจลกึ่งครีม
สารสกัด
Growth factor
Peptide
Aquatide",,Admin,0,1,,RDF2212048,20,12.0,2022.0,12/12/2022,,Admin,0,2,17,1,2022-12-12 11:44:57,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212049,140,"ปรับเรื่อง ลดความมันหลังจากใช้ ปรับสูตรให้ไม่มีสารสกัดที่ทำให้อุดตัน ไม่เกิดสิว
ปรับสีให้มีความเหลืองมากขึ้น เหมาะกับ คนผิวสีแทน/เหลือง
ส่งให้ลค2แบบ แบบมีสี และ แบบไม่มีสี",,Admin,0,2,,RDF2212049,20,12.0,2022.0,12/12/2022,,Admin,0,2,17,1,2022-12-12 13:12:49,2023-06-21 15:25:12,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212050,32,"รับงานวันที่  : 09/11/65
กำหนดส่ง : 23/11/65
ปรับ : แจ้งปรับสูตร4ค่ะ
1. รีเช็คเนื้อที่ส่งไปนะคะ ปรับเนื้อไม่แยกชั้นกับน้ำมัน
2. เนื้อกันแดดมีความเป็นเนื้อทรายน้อยๆ ปรับให้ไม่รู้สึกสากผิว
(*)เนื้อว้าวๆ : บีบเนื้อมา จะรู้สึก first impression ว่า ทาแล้วไม่หนักหน้า นุ่มๆ ลื่นๆ เกลี่ยง่าย ทาแล้วต้องสบายผิวแน่ๆ
- คุณสมบัติดีแล้วนะคะ ไม่แพ้แต่หนักผิว กันแดดดี ไม่แสบตา เกาะผิวดี ใช้ได้หลังทำ picosecond laser
- ส่งตัวเทสเป็นแพ็คเกจหลอดหัวปั้มใกล้เคียงกับภาพค่ะ",,Admin,0,4,,RDF2212050,20,12.0,2022.0,12/12/2022,,Thidapon  Kliangrot,0,2,21,1,2022-12-12 15:48:31,2023-06-06 16:39:19,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212051,41,"รับงานวันที่  : 30/11/65
กำหนดส่ง : 14/12/65
ปรับ : ส่งตัวอย่างให้ลูกค้าเพิ่มเติม สูตร3 ส่ง2แบบ แบบมีกลิ่น และ ไม่มีกลิ่น ทั้ง2แบบ แบบละ2หลอด รวม4หลอด",,Admin,0,3,,RDF2212051,20,12.0,2022.0,12/12/2022,,Admin,0,2,20,1,2022-12-12 16:41:10,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212052,61,-,,Admin,0,4,,RDF2212052,20,12.0,2022.0,12/13/2022,,Admin,0,2,17,1,2022-12-13 10:53:05,2023-06-21 14:52:30,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212053,62,-,,Admin,0,1,,RDF2212053,20,12.0,2022.0,12/13/2022,,Admin,0,2,17,1,2022-12-13 11:24:49,2023-06-21 14:50:43,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212054,58,ลดสารสกัดที่ทำให้อุดตัน เอาสูตร3มาปรับ ขอเนื้อแบบเดิม,,Admin,1,4,RDF2212022,RDF2212022,20,12.0,2022.0,12/07/2022,,Charinthip Thawisirisap,0,2,17,1,2022-12-13 11:59:30,2023-06-21 15:06:09,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212055,63,-,,Admin,0,1,,RDF2212055,20,12.0,2022.0,12/13/2022,,Admin,0,2,17,1,2022-12-13 13:37:17,2023-06-21 14:52:42,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212056,143,-,,Admin,0,4.1,,RDF2212056,20,12.0,2022.0,12/13/2022,,Admin,1,3,21,1,2022-12-13 13:48:18,2025-07-17 09:03:51,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212057,64,-,,Admin,0,2,,RDF2212057,20,12.0,2022.0,12/13/2022,,Admin,1,3,17,1,2022-12-13 14:31:57,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212058,65,-,,Admin,0,3.2,,RDF2212058,20,12.0,2022.0,12/13/2022,,Charinthip Thawisirisap,1,3,17,1,2022-12-13 14:42:19,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212059,144,ปรับราคาให้ถูกลง,,Admin,0,9,,RDF2212059,20,12.0,2022.0,12/13/2022,,Admin,0,2,21,1,2022-12-13 14:52:14,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212060,66,-,,Admin,0,3.2,,RDF2212060,20,12.0,2022.0,12/13/2022,,Admin,0,2,17,1,2022-12-13 15:36:39,2023-06-21 14:52:54,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212061,67,-,,Admin,0,3,,RDF2212061,20,12.0,2022.0,12/13/2022,,Admin,0,2,17,1,2022-12-13 15:59:41,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212062,152,Benchmark : Reconence Skin Conditioning ขอเห็นผลขาวกว่า,,Admin,0,1,,RDF2212062,20,12.0,2022.0,12/13/2022,,Admin,0,2,20,1,2022-12-13 16:50:14,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212063,146,-,,Admin,0,1,,RDF2212063,20,12.0,2022.0,12/13/2022,,Admin,1,3,17,1,2022-12-13 16:50:59,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212064,68,-,,Admin,0,2,,RDF2212064,20,12.0,2022.0,12/14/2022,,Admin,0,2,17,1,2022-12-14 11:54:46,2023-06-21 14:51:27,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212065,69,-,,Admin,0,2,,RDF2212065,20,12.0,2022.0,12/14/2022,,Admin,0,2,17,1,2022-12-14 16:51:59,2023-06-21 15:22:46,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212066,170,กลิ่น KODOMO,,Admin,0,1.2,,RDF2212066,20,12.0,2022.0,12/15/2022,,Admin,1,3,21,1,2022-12-15 10:50:16,2023-05-29 09:31:25,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212067,70,-,,Thatsanawaree Kotwong,0,1,,RDF2212067,20,12.0,2022.0,12/15/2022,,Thatsanawaree Kotwong,0,2,17,1,2022-12-15 13:51:23,2023-06-21 15:23:11,,,,,1,0,0,1,,,,,0,0,0,0,1,
RDF2212068,71,-,,Thatsanawaree Kotwong,0,1,,RDF2212068,20,12.0,2022.0,12/15/2022,,Thatsanawaree Kotwong,0,2,17,1,2022-12-15 14:15:11,2023-06-21 15:23:20,,,,,1,0,0,1,,,,,0,0,0,0,1,
